scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,sd_risk,beta_risk,sharpe_risk,sortino_risk,risk_score,calculated_risk_level,calculated_risk_numeric,risk_explanation,return_score,sharpe_quality,sortino_quality,fund_quality_score,risk_gap,risk_compatibility,recommendation_score
Sundaram Emerging Small Cap Series VI – Dir Growth,0,5000,0.77,41.0,5,Rohit Seksaria,4.27,8.43,18.61,0.84,1.95,6,Sundaram Mutual Fund,0,Equity,Small Cap Mutual Funds,7.8,41.9,,64.0,64.0,42.0,24.0,51.60000000000001,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,52.0,62.0,80.0,63.4,0,100.0,79.42
Sundaram Emerging Small Cap Series VII – Dir Growth,0,5000,0.97,141.0,4,Rohit Seksaria,3.95,6.51,17.13,0.76,1.86,6,Sundaram Mutual Fund,0,Equity,Small Cap Mutual Funds,8.0,36.9,,16.0,20.0,80.0,60.0,38.4,Low,2,Primary risk drivers: Sharpe Risk and Downside Risk.,20.0,24.0,44.0,28.4,1,75.0,50.019999999999996
Sundaram Equity Savings Fund,500,100,0.54,415.0,10,Sudhir Kedia,3.24,2.5,6.14,0.94,1.5,3,Sundaram Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,3.9,16.8,9.9,47.61904761904761,64.28571428571429,61.904761904761905,52.38095238095239,54.76190476190476,Moderate,3,Primary risk drivers: Market Sensitivity and Sharpe Risk.,95.23809523809523,42.857142857142854,52.38095238095239,66.66666666666666,0,100.0,89.04761904761905
Sundaram Fin Serv Opportunities – Direct Growth,100,100,0.51,601.0,10,Rohit Seksaria,2.35,2.92,22.98,0.89,1.06,6,Sundaram Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.4,25.9,12.6,91.02564102564102,76.28205128205127,80.12820512820514,71.7948717948718,82.05128205128206,Very High,5,Primary risk drivers: Volatility and Sharpe Risk.,43.58974358974359,21.153846153846153,29.48717948717949,32.62820512820513,2,50.0,43.50641025641026
Sundaram Focused Fund,100,300,1.2,771.0,10,Ravi Gopalakrishnan,2.47,-1.91,16.55,0.94,1.22,6,Sundaram Mutual Fund,4,Equity,Focused Funds,-1.8,24.5,13.1,63.1578947368421,68.42105263157895,73.68421052631578,84.21052631578947,70.52631578947368,High,4,Primary risk drivers: Downside Risk and Sharpe Risk.,42.10526315789473,31.57894736842105,21.052631578947366,32.63157894736842,1,75.0,55.71052631578947
Sundaram Infrastructure Advantage Fund,100,100,1.87,594.0,10,Ashish Aggarwal,2.9,6.79,18.26,0.68,1.55,6,Sundaram Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,7.3,32.5,9.1,51.28205128205128,25.64102564102564,32.05128205128205,45.51282051282051,41.15384615384615,Moderate,3,Primary risk drivers: Volatility and Downside Risk.,70.51282051282051,69.23076923076923,55.769230769230774,65.7051282051282,0,100.0,83.81410256410255
Sundaram Large and Mid Cap Fund,100,100,0.72,4885.0,10,Ravi Gopalakrishnan,3.07,1.94,16.28,0.93,1.43,6,Sundaram Mutual Fund,3,Equity,Large & Mid Cap Funds,-1.3,25.4,11.7,54.166666666666664,70.83333333333334,64.58333333333334,64.58333333333334,61.66666666666668,High,4,Primary risk drivers: Market Sensitivity and Sharpe Risk.,16.666666666666664,39.58333333333333,39.58333333333333,30.416666666666664,1,75.0,49.958333333333336
Sundaram Large Cap Fund,100,100,0.6,2855.0,2,Sudhir Kedia,3.64,-0.51,15.44,0.91,1.3,6,Sundaram Mutual Fund,5,Equity,Large Cap Mutual Funds,0.9,,,35.714285714285715,39.285714285714285,50.0,7.142857142857142,33.57142857142858,Low,2,Primary risk drivers: Sharpe Risk and Market Sensitivity.,,53.57142857142857,96.42857142857143,,1,75.0,
Sundaram Liquid Fund,2000,1000,0.17,4169.0,10,Dwijendra Srivastava,4.89,1.36,0.38,0.74,0.98,2,Sundaram Mutual Fund,4,Debt,Liquid Mutual Funds,5.7,4.2,3.3,63.63636363636363,48.484848484848484,31.818181818181817,24.242424242424242,46.36363636363637,Moderate,3,Primary risk drivers: Volatility and Market Sensitivity.,28.78787878787879,71.21212121212122,78.78787878787878,56.51515151515151,0,100.0,72.71212121212122
Sundaram Low Duration Fund,2000,1000,0.33,433.0,10,Dwijendra Srivastava,3.93,1.44,4.28,-1.59,0.83,2,Sundaram Mutual Fund,2,Debt,Low Duration Funds,5.6,4.9,1.8,95.0,5.0,85.0,25.0,61.0,High,4,Primary risk drivers: Volatility and Sharpe Risk.,10.0,20.0,80.0,34.0,1,75.0,49.7
Sundaram LT MC Tax Advantage Fund,0,500,1.22,27.0,6,Rohit Seksaria,3.85,13.85,20.25,0.98,1.82,6,Sundaram Mutual Fund,0,Equity,ELSS Mutual Funds,1.4,42.8,9.5,98.0392156862745,93.13725490196079,17.647058823529413,15.686274509803921,64.50980392156863,High,4,Primary risk drivers: Volatility and Market Sensitivity.,92.15686274509804,84.31372549019608,86.27450980392157,88.0392156862745,1,75.0,82.34313725490196
Sundaram LT MC Tax Advantage Fund,0,500,1.23,31.0,5,Rohit Seksaria,4.1,15.38,20.47,0.98,1.88,6,Sundaram Mutual Fund,0,Equity,ELSS Mutual Funds,3.8,44.8,9.8,100.0,93.13725490196079,7.8431372549019605,6.862745098039216,61.568627450980394,High,4,Primary risk drivers: Volatility and Market Sensitivity.,96.07843137254902,94.11764705882352,95.09803921568627,95.19607843137256,1,75.0,85.27450980392157
